,product,title,rating,text,preprocessed_title,preprocessed_text
0,EOS 2000D Kit 18-55mm is II Spiegelreflexkamera,Trop bien,5,Je l ai reçu aujourd'hui et je m amuse comme une folle au grand dam de mon conjoint...Je ne m y connais pas mais j ai acheté un bouquin.. il est génial.. les photos sont magnifique.,"['trop', 'bien']","['reçu', 'aujourdhui', 'amuse', 'comme', 'folle', 'grand', 'dam', 'conjointje', 'connais', 'acheté', 'bouquin', 'génial', 'photos', 'magnifique']"
1,EOS 2000D Kit 18-55mm is II Spiegelreflexkamera,Top (je confirme stabilisateur sur objectif),5,Parfait pour la livraison toujours au top !Pour ma commande EOS 2000D il est bien livré avec l'objectif 18-55 avec stabilisateur.Reste à tester cette merveille,"['top', 'confirme', 'stabilisateur', 'objectif']","['parfait', 'livraison', 'toujours', 'top', 'commande', 'eos', 'bien', 'livré', 'lobjectif', 'stabilisateurreste', 'tester', 'cette', 'merveille']"
2,EOS 2000D Kit 18-55mm is II Spiegelreflexkamera,Parfait pour un débutant,5,Très bon appareil photo.Je recommande.,"['parfait', 'débutant']","['très', 'bon', 'appareil', 'photoje', 'recommande']"
3,EOS 2000D Kit 18-55mm is II Spiegelreflexkamera,Bien content,5,Très content du produit.Revu ce jour plusieurs essais ont été fait et ils sont réussi.Bien pour commencer la photographie car facile d'utilisation et simple.Je recommande.,"['bien', 'content']","['très', 'content', 'produitrevu', 'jour', 'plusieurs', 'essais', 'fait', 'réussibien', 'commencer', 'photographie', 'car', 'facile', 'dutilisation', 'simpleje', 'recommande']"
4,"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs","Très déçu, surtout pour le prix!! par rapport au même modèle d'il y a 10ans",3,"J'ai acheté ce rasoir pour mon fils, je dispose déjà d'un rasoir Braun Série 7 qui doit avoir plus de 10ans et pour le quel je suis toujours enchanté.Je viens de comparer le mien et le nouveau, c'est incroyable comme la qualité a diminué, on dirait un jouet à côté de l'ancien. En plus, le ""rasoir"" favoris n'est pas intégré, il faut donc à chaque fois déclipser la tête pour mettre l'accessoire. Vu la qualité et le fait de devoir enlever et remettre à chaque fois, c'est évidement qu'il ne va pas durer très longtemps. Et pas très pratique, le matin on est pressé en général.Quand je vois ca, je vais tout faire pour garder mon vieux rasoir le plus longtemps possible...L'angle de la tête est aussi beaucoup moins flexible, la tête bouge, oui, mais pas énormément. Flex 360.. pas vraimentLe rasoir en soit fonctionne bien, mais bon à ce prix, c'est le but... et si on ne compare pas avec l'ancien on ne sait pas ce que l'on rate ;-)En conclusion : rasoir qui rase bien sans plus et qui pour moi vaut 100e max! On parle d'un rasoir, pas d'un smartphone, 250e pour quelque chose de basic sans accessoires, faut pas déconner, essayez de l'avoir en promo.","['très', 'déçu', 'surtout', 'prix', 'rapport', 'modèle', 'dil', 'a', 'ans']","['jai', 'acheté', 'rasoir', 'fils', 'dispose', 'déjà', 'dun', 'rasoir', 'braun', 'série', 'doit', 'avoir', 'plus', 'ans', 'quel', 'toujours', 'enchantéje', 'viens', 'comparer', 'mien', 'nouveau', 'cest', 'incroyable', 'comme', 'qualité', 'a', 'diminué', 'dirait', 'jouet', 'côté', 'lancien', 'plus', 'rasoir', 'favoris', 'nest', 'intégré', 'faut', 'donc', 'chaque', 'fois', 'déclipser', 'tête', 'mettre', 'laccessoire', 'vu', 'qualité', 'fait', 'devoir', 'enlever', 'remettre', 'chaque', 'fois', 'cest', 'évidement', 'quil', 'va', 'durer', 'très', 'longtemps', 'très', 'pratique', 'matin', 'pressé', 'généralquand', 'vois', 'ca', 'vais', 'tout', 'faire', 'garder', 'vieux', 'rasoir', 'plus', 'longtemps', 'possiblelangle', 'tête', 'aussi', 'beaucoup', 'moins', 'flexible', 'tête', 'bouge', 'oui', 'énormément', 'flex', 'vraimentle', 'rasoir', 'fonctionne', 'bien', 'bon', 'prix', 'cest', 'but', 'si', 'compare', 'lancien', 'sait', 'lon', 'rate', 'conclusion', 'rasoir', 'rase', 'bien', 'sans', 'plus', 'vaut', 'e', 'max', 'parle', 'dun', 'rasoir', 'dun', 'smartphone', 'e', 'quelque', 'chose', 'basic', 'sans', 'accessoires', 'faut', 'déconner', 'essayez', 'lavoir', 'promo']"
5,"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Ce rasoir électrique rente une peau de pêche,5,J'étais surpris par la qualité du rasage de ce rasoir électrique Brown c'est mon premier rasoir électrique Braun et je suis ravi de mon achat rapport qualité-prix excellent rasage impeccable une vraie peau de pêche,"['rasoir', 'électrique', 'rente', 'peau', 'pêche']","['jétais', 'surpris', 'qualité', 'rasage', 'rasoir', 'électrique', 'brown', 'cest', 'premier', 'rasoir', 'électrique', 'braun', 'ravi', 'achat', 'rapport', 'qualitéprix', 'excellent', 'rasage', 'impeccable', 'vraie', 'peau', 'pêche']"
6,"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Tombé en panne au bout d'une semaine,1,"Inconditionnel de la marque depuis 40 ans, cette nouvelle génération de la fameuse séries 7 a rempli mes attentes pendant une petite semaine jusqu'à commencer à accuser des fluctuations dans le régime moteur, pour finalement s'arrêterPour le peu de temps que j'ai pu l'utiliser, le niveau de bruit réduit est vraiment appréciableLe retour sous 30 jours proposé par Amazon est bien tombé et s'est déroulé sans aucun souciMerci donc Amazon pour ce confort qui rassure","['tombé', 'panne', 'bout', 'dune', 'semaine']","['inconditionnel', 'marque', 'depuis', 'ans', 'cette', 'nouvelle', 'génération', 'fameuse', 'séries', 'a', 'rempli', 'attentes', 'pendant', 'petite', 'semaine', 'jusquà', 'commencer', 'accuser', 'fluctuations', 'régime', 'moteur', 'finalement', 'sarrêterpour', 'peu', 'temps', 'jai', 'pu', 'lutiliser', 'niveau', 'bruit', 'réduit', 'vraiment', 'appréciablele', 'retour', 'sous', 'jours', 'proposé', 'amazon', 'bien', 'tombé', 'sest', 'déroulé', 'sans', 'aucun', 'soucimerci', 'donc', 'amazon', 'confort', 'rassure']"
7,"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Un peu déçu,2,Il est rasage humide et sec mais dans ce modèle Il n’y a pas de possibilité de verrouiller l’étanchéité du corps de rasageAussi il y a plein de poils qui vous tombent sur le thorax.,"['peu', 'déçu']","['rasage', 'humide', 'sec', 'modèle', '’', 'a', 'possibilité', 'verrouiller', '’', 'étanchéité', 'corps', 'rasageaussi', 'a', 'plein', 'poils', 'tombent', 'thorax']"
8,"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",barbe,5,il on changé leur modèle il et plus puissant que les anciens modèles,['barbe'],"['changé', 'modèle', 'plus', 'puissant', 'anciens', 'modèles']"
9,"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Pour un bon razage,5,Bon produit livré dans le délais: un produit allemand.,"['bon', 'razage']","['bon', 'produit', 'livré', 'délais', 'produit', 'allemand']"
